run_started_at,stage,detail,started_at,finished_at,duration_s,status,rows_affected,notes
2026-05-04T19:01:12.619382+00:00,csv_read,,2026-05-04T19:01:12.619634+00:00,2026-05-04T19:01:14.046198+00:00,1.427,ok,795768,"raw=1083818, filtered=795768, unique_descs=3866"
2026-05-04T19:01:12.619382+00:00,aggregation,,2026-05-04T19:01:14.046259+00:00,2026-05-04T19:01:14.294110+00:00,0.248,ok,3866,
2026-05-04T19:01:12.619382+00:00,timestamp_gen,,2026-05-04T19:01:14.294179+00:00,2026-05-04T19:01:14.295947+00:00,0.002,ok,3866,
2026-05-04T19:01:12.619382+00:00,gemini_batch,batch 1/78,2026-05-04T19:01:14.296071+00:00,2026-05-04T19:04:15.188544+00:00,180.892,fallback_429,50,all 3 attempts rate-limited
2026-05-04T19:08:37.774069+00:00,csv_read,,2026-05-04T19:08:37.774319+00:00,2026-05-04T19:08:39.292548+00:00,1.518,ok,795768,"raw=1083818, filtered=795768, unique_descs=3866"
2026-05-04T19:08:37.774069+00:00,aggregation,,2026-05-04T19:08:39.292620+00:00,2026-05-04T19:08:39.537097+00:00,0.244,ok,3866,
2026-05-04T19:08:37.774069+00:00,timestamp_gen,,2026-05-04T19:08:39.537165+00:00,2026-05-04T19:08:39.538879+00:00,0.002,ok,3866,
2026-05-04T19:08:37.774069+00:00,gemini_batch,batch 1/78,2026-05-04T19:08:39.539001+00:00,2026-05-04T19:09:05.968081+00:00,26.429,ok,50,attempt 1
2026-05-04T19:08:37.774069+00:00,gemini_batch,batch 2/78,2026-05-04T19:09:07.972270+00:00,2026-05-04T19:09:31.155235+00:00,23.183,ok,50,attempt 1
2026-05-04T19:08:37.774069+00:00,gemini_batch,batch 3/78,2026-05-04T19:09:33.160541+00:00,2026-05-04T19:10:00.485899+00:00,27.325,ok,50,attempt 1
2026-05-04T19:08:37.774069+00:00,gemini_batch,batch 4/78,2026-05-04T19:10:02.491450+00:00,2026-05-04T19:10:26.569327+00:00,24.078,ok,50,attempt 1
2026-05-04T19:08:37.774069+00:00,gemini_batch,batch 5/78,2026-05-04T19:10:28.574618+00:00,2026-05-04T19:10:53.981568+00:00,25.407,ok,50,attempt 1
2026-05-04T19:08:37.774069+00:00,gemini_batch,batch 6/78,2026-05-04T19:10:55.986936+00:00,2026-05-04T19:11:15.740457+00:00,19.754,ok,50,attempt 1
2026-05-04T19:08:37.774069+00:00,gemini_batch,batch 7/78,2026-05-04T19:11:17.742916+00:00,2026-05-04T19:11:40.986392+00:00,23.243,ok,50,attempt 1
2026-05-04T19:08:37.774069+00:00,gemini_batch,batch 8/78,2026-05-04T19:11:42.991735+00:00,2026-05-04T19:11:59.328398+00:00,16.337,ok,50,attempt 1
2026-05-04T19:08:37.774069+00:00,gemini_batch,batch 9/78,2026-05-04T19:12:01.333720+00:00,2026-05-04T19:12:29.127800+00:00,27.794,ok,50,attempt 1
2026-05-04T19:08:37.774069+00:00,gemini_batch,batch 10/78,2026-05-04T19:12:31.131396+00:00,2026-05-04T19:13:16.814718+00:00,45.683,ok,50,attempt 2
2026-05-04T19:08:37.774069+00:00,gemini_batch,batch 11/78,2026-05-04T19:13:18.819955+00:00,2026-05-04T19:13:46.455776+00:00,27.636,ok,50,attempt 1
2026-05-04T19:08:37.774069+00:00,gemini_batch,batch 12/78,2026-05-04T19:13:48.461040+00:00,2026-05-04T19:14:13.820605+00:00,25.36,ok,50,attempt 1
2026-05-04T19:08:37.774069+00:00,gemini_batch,batch 13/78,2026-05-04T19:14:15.825950+00:00,2026-05-04T19:14:41.928167+00:00,26.102,ok,50,attempt 1
2026-05-04T19:08:37.774069+00:00,gemini_batch,batch 14/78,2026-05-04T19:14:43.931850+00:00,2026-05-04T19:15:35.222355+00:00,51.291,ok,50,attempt 2
2026-05-04T19:08:37.774069+00:00,gemini_batch,batch 15/78,2026-05-04T19:15:37.227736+00:00,2026-05-04T19:15:54.335633+00:00,17.108,ok,50,attempt 1
2026-05-04T19:08:37.774069+00:00,gemini_batch,batch 16/78,2026-05-04T19:15:56.341012+00:00,2026-05-04T19:16:23.718789+00:00,27.378,ok,50,attempt 1
2026-05-04T19:08:37.774069+00:00,gemini_batch,batch 17/78,2026-05-04T19:16:25.723372+00:00,2026-05-04T19:16:50.393516+00:00,24.67,ok,50,attempt 1
